Time,Icc,Pm,Vwind,Pout,Vcc,S1.Pm,S1.Cp,S1.pitch,S1.v_ms,S1.lambda,S1.RPM,S1.rad_s,S1.torque
0.099,-2.6823e-006,2.13749,100.8,-2.0017e-005,18,31.3821,0.0742935,15,28,2.31546,6191.09,648.329,0.00329692
0.1,-2.67875e-006,2.21426,100.8,-2.0295e-005,18,31.4845,0.0745359,15,28,2.31867,6199.67,649.228,0.00341061
0.101,-2.67519e-006,2.29124,100.8,-2.05726e-005,18,31.5874,0.0747795,15,28,2.32189,6208.27,650.128,0.00352429
0.102,-2.67875e-006,2.22041,100.8,-2.08496e-005,18,31.6907,0.0750242,15,28,2.32511,6216.88,651.031,0.00341061
0.103,-2.66454e-006,2.29761,100.8,-2.11261e-005,18,31.7946,0.07527,15,28,2.32834,6225.52,651.935,0.00352429
0.104,-2.66809e-006,2.37502,100.8,-2.14021e-005,18,31.8989,0.0755171,15,28,2.33157,6234.17,652.84,0.00363798
0.105,-2.65743e-006,2.304,100.8,-2.16774e-005,18,32.0038,0.0757653,15,28,2.33481,6242.83,653.748,0.00352429
0.106,-2.65388e-006,2.23278,100.8,-2.1952e-005,18,32.1092,0.0760148,15,28,2.33806,6251.51,654.657,0.00341061
0.107,-2.65743e-006,2.31041,100.8,-2.22258e-005,18,32.215,0.0762654,15,28,2.34131,6260.21,655.568,0.00352429
0.108,-2.64322e-006,2.23899,100.8,-2.2499e-005,18,32.3214,0.0765173,15,28,2.34457,6268.92,656.48,0.00341061
0.109,-2.63967e-006,2.31685,100.8,-2.27713e-005,18,32.4283,0.0767703,15,28,2.34784,6277.66,657.395,0.00352429
0.11,-2.63611e-006,2.24524,100.8,-2.30427e-005,18,32.5357,0.0770246,15,28,2.35111,6286.4,658.311,0.00341061
0.111,-2.63256e-006,2.32331,100.8,-2.33133e-005,18,32.6437,0.0772801,15,28,2.35439,6295.17,659.229,0.00352429
0.112,-2.63611e-006,2.32656,100.8,-2.3583e-005,18,32.7521,0.0775369,15,28,2.35767,6303.95,660.148,0.00352429
0.113,-2.62901e-006,2.17949,100.8,-2.38517e-005,18,32.8611,0.0777949,15,28,2.36096,6312.75,661.07,0.00329692
0.114,-2.61835e-006,2.33306,100.8,-2.41193e-005,18,32.9706,0.0780542,15,28,2.36426,6321.57,661.993,0.00352429
0.115,-2.6148e-006,2.33632,100.8,-2.4386e-005,18,33.0807,0.0783147,15,28,2.36756,6330.4,662.918,0.00352429
0.116,-2.61124e-006,2.33958,100.8,-2.46515e-005,18,33.1913,0.0785766,15,28,2.37087,6339.25,663.845,0.00352429
0.117,-2.60769e-006,2.34286,100.8,-2.4916e-005,18,33.3024,0.0788397,15,28,2.37419,6348.12,664.773,0.00352429
0.118,-2.60769e-006,2.34613,100.8,-2.51793e-005,18,33.4141,0.079104,15,28,2.37751,6357,665.704,0.00352429
0.119,-2.59703e-006,2.34942,100.8,-2.54415e-005,18,33.5263,0.0793697,15,28,2.38084,6365.91,666.636,0.00352429
0.12,-2.59348e-006,2.35271,100.8,-2.57024e-005,18,33.6391,0.0796367,15,28,2.38418,6374.83,667.57,0.00352429
0.121,-2.58993e-006,2.35601,100.8,-2.59621e-005,18,33.7524,0.079905,15,28,2.38752,6383.76,668.506,0.00352429
0.122,-2.58282e-006,2.35932,100.8,-2.62205e-005,18,33.8663,0.0801747,15,28,2.39087,6392.72,669.444,0.00352429
