flow,i1,i2,i3,rpm,time,v1,v2,v3,wind_km/h,wind_lev,wind_m/s,windspeed,pitch
1359.4367434,0.238461538462,0.0,0.0,7560,2.89397,0.0,0.0,24.7607421875,56.5188120901,v2,15.699670025,0,5
1357.98596866,0.242307692308,0.0,0.0,7370,2.91797,0.0,0.0,24.7607421875,56.4584958856,v2,15.6829155238,0,5
1358.93589511,0.25,0.0,0.0,7440,2.94027,0.0,0.0,24.814453125,56.4979892382,v2,15.6938858995,0,5
1352.12938329,0.230769230769,0.0,0.0,7370,2.96459,0.0,0.0,24.70703125,56.21500736,v2,15.6152798222,0,5
1358.38974528,0.223076923077,0.0,0.0,7320,2.98668,0.0,0.0,24.814453125,56.4752829668,v2,15.6875786019,0,5
1354.86804199,0.234615384615,0.0,0.0,7425,3.0109,0.0,0.0,24.70703125,56.328867558,v2,15.646907655,0,5
1357.33959832,0.25,0.0,0.0,7380,3.0349,0.0,0.0,24.7607421875,56.4316229294,v2,15.6754508137,0,5
1361.80872858,0.230769230769,0.0,0.0,7440,3.0572,0.0,0.0,24.70703125,56.6174277746,v2,15.7270632707,0,5
1357.69005069,0.246153846154,0.0,0.0,7425,3.0796,0.0,0.0,24.7607421875,56.446193046,v2,15.6794980683,0,5
1353.52312032,0.226923076923,0.0,0.0,7448,3.1019,0.0,0.0,24.7607421875,56.2729522125,v2,15.6313756146,0,5
1349.47271968,0.234615384615,0.0,0.0,7370,3.1242,0.0,0.0,24.70703125,56.1045561221,v2,15.5845989228,0,5
1359.4367434,0.242307692308,0.0,0.15,7504,3.1485,0.0,0.0,24.7607421875,56.5188120901,v2,15.699670025,0,5
1357.98596866,0.253846153846,0.0,0.0,7320,3.1709,0.0,0.0,24.814453125,56.4584958856,v2,15.6829155238,0,5
1358.93589511,0.234615384615,0.0,0.0,7504,3.1937,0.0,0.0,24.70703125,56.4979892382,v2,15.6938858995,0,5
1352.12938329,0.25,0.0,0.0,7280,3.2156,0.0,0.0,24.7607421875,56.21500736,v2,15.6152798222,0,5
1358.38974528,0.238461538462,0.0,0.0,7535,3.2385,0.0,0.0,24.814453125,56.4752829668,v2,15.6875786019,0,5
1354.86804199,0.242307692308,0.0,0.0,7336,3.2622,0.0,0.0,24.7607421875,56.328867558,v2,15.646907655,0,5
1357.33959832,0.238461538462,0.0,0.0,7500,3.2845,0.0,0.0,24.7607421875,56.4316229294,v2,15.6754508137,0,5
1361.80872858,0.238461538462,0.0,0.0,7370,3.3067,0.0,0.0,24.7607421875,56.6174277746,v2,15.7270632707,0,5
1357.69005069,0.234615384615,0.0,0.0,7425,3.3296,0.0,0.0,24.814453125,56.446193046,v2,15.6794980683,0,5
1353.52312032,0.238461538462,0.0,0.0,7410,3.3522,0.0,0.0,24.7607421875,56.2729522125,v2,15.6313756146,0,5
1349.47271968,0.25,0.0,0.0,7392,3.3757,0.0,0.0,24.7607421875,56.1045561221,v2,15.5845989228,0,5
1359.4367434,0.230769230769,0.0,0.0,7493,3.3981,0.0,0.0,24.814453125,56.5188120901,v2,15.699670025,0,5
1357.98596866,0.246153846154,0.0,0.0,7315,3.4201,0.0,0.0,24.814453125,56.4584958856,v2,15.6829155238,0,5
1358.93589511,0.230769230769,0.0,0.0,7480,3.4428,0.0,0.0,24.7607421875,56.4979892382,v2,15.6938858995,0,5
1352.12938329,0.238461538462,0.0,0.0,7392,3.4652,0.0,0.0,24.814453125,56.21500736,v2,15.6152798222,0,5
1358.38974528,0.242307692308,0.0,0.0,7448,3.4892,0.0,0.0,24.7607421875,56.4752829668,v2,15.6875786019,0,5
1354.86804199,0.246153846154,0.0,0.0,7500,3.5115,0.0,0.0,24.7607421875,56.328867558,v2,15.646907655,0,5
1357.33959832,0.246153846154,0.0,0.0,7315,3.5357,0.0,0.0,24.70703125,56.4316229294,v2,15.6754508137,0,5
1361.80872858,0.242307692308,0.0,0.0,7380,3.5579,0.0,0.0,24.7607421875,56.6174277746,v2,15.7270632707,0,5
1357.69005069,0.25,0.0,0.0,7425,3.5822,0.0,0.0,24.70703125,56.446193046,v2,15.6794980683,0,5
1353.52312032,0.246153846154,0.0,0.0,7442,3.6061,0.0,0.0,24.7607421875,56.2729522125,v2,15.6313756146,0,5
1349.47271968,0.230769230769,0.0,0.0,7375,3.6286,0.0,0.0,24.7607421875,56.1045561221,v2,15.5845989228,0,5
1359.4367434,0.238461538462,0.0,0.0,7392,3.6508,0.0,0.0,24.70703125,56.5188120901,v2,15.699670025,0,5
1357.98596866,0.238461538462,0.0,0.0,7425,3.6732,0.0,0.0,24.7607421875,56.4584958856,v2,15.6829155238,0,5
1358.93589511,0.25,0.0,0.0,7448,3.6956,0.0,0.0,24.7607421875,56.4979892382,v2,15.6938858995,0,5
1352.12938329,0.242307692308,0.0,0.0,7392,3.7198,0.0,0.0,24.70703125,56.21500736,v2,15.6152798222,0,5
1358.38974528,0.234615384615,0.0,0.0,7440,3.7423,0.0,0.0,24.7607421875,56.4752829668,v2,15.6875786019,0,5
1354.86804199,0.226923076923,0.0,0.0,7392,3.7646,0.0,0.0,24.7607421875,56.328867558,v2,15.646907655,0,5
1357.33959832,0.226923076923,0.0,0.0,7425,3.7868,0.0,0.0,24.7607421875,56.4316229294,v2,15.6754508137,0,5
1361.80872858,0.223076923077,0.0,0.0,7425,3.8092,0.0,0.0,24.70703125,56.6174277746,v2,15.7270632707,0,5
1357.69005069,0.242307692308,0.0,0.0,7448,3.8333,0.0,0.0,24.70703125,56.446193046,v2,15.6794980683,0,5
1353.52312032,0.25,0.0,0.0,7380,3.8557,0.0,0.0,24.70703125,56.2729522125,v2,15.6313756146,0,5
1349.47271968,0.223076923077,0.0,0.0,7448,3.8779,0.0,0.0,24.7607421875,56.1045561221,v2,15.5845989228,0,5
1359.4367434,0.238461538462,0.0,0.0,7425,3.9003,0.0,0.0,24.7607421875,56.5188120901,v2,15.699670025,0,5
1357.98596866,0.238461538462,0.0,0.0,7448,3.9229,0.0,0.0,24.7607421875,56.4584958856,v2,15.6829155238,0,5
1358.93589511,0.238461538462,0.0,0.0,7392,3.947,0.0,0.0,24.70703125,56.4979892382,v2,15.6938858995,0,5
1352.12938329,0.25,0.0,0.0,7380,3.9695,0.0,0.0,24.7607421875,56.21500736,v2,15.6152798222,0,5
1358.38974528,0.246153846154,0.0,0.0,7448,3.9915,0.0,0.0,24.814453125,56.4752829668,v2,15.6875786019,0,5
1595.26928711,0.246153846154,0.0,0.0,9282,4.019849,0.0,0.0,24.70703125,66.3235899053,v3,18.4232194181,0,5
1601.40450583,0.25,0.0,0.0,8580,4.042446,0.0,0.0,24.7607421875,66.5786626594,v3,18.494072961,0,5
1601.82708814,0.238461538462,0.0,0.0,8712,4.065044,0.0,0.0,24.7607421875,66.5962315903,v3,18.4989532195,0,5
1604.22440328,0.246153846154,0.0,0.0,8580,4.087557,0.0,0.0,24.70703125,66.695900372,v3,18.5266389922,0,5
1601.83629532,0.246153846154,0.0,0.0,8712,4.11295,0.0,0.0,24.7607421875,66.5966143801,v3,18.49905955,0,5
1597.96030268,0.253846153846,0.0,0.0,8658,4.13625,0.0,0.0,24.70703125,66.4354693318,v3,18.4542970366,0,5
1599.12683211,0.253846153846,0.0,0.0,8704,4.15892,0.0,0.0,24.70703125,66.4839679899,v3,18.4677688861,0,5
1597.42157158,0.25,0.0,0.0,8712,4.18059,0.0,0.0,24.814453125,66.4130714953,v3,18.4480754154,0,5
1598.43637436,0.230769230769,0.0,0.188461538462,8832,4.20321,0.0,0.0,24.70703125,66.4552620923,v3,18.4597950256,0,5
1601.40493528,0.238461538462,0.0,0.0,8712,4.22749,0.0,0.0,24.7607421875,66.5786805137,v3,18.4940779205,0,5
1604.04678696,0.257692307692,0.0,0.0,8662,4.24991,0.0,0.0,24.814453125,66.6885159434,v3,18.5245877621,0,5
1599.48583984,0.242307692308,0.0,0.0,8844,4.27167,0.0,0.0,24.7607421875,66.498893797,v3,18.4719149436,0,5
1595.26928711,0.25,0.0,0.0,8631,4.29434,0.0,0.0,24.7607421875,66.3235899053,v3,18.4232194181,0,5
1601.40450583,0.246153846154,0.0,0.0,8777,4.31675,0.0,0.0,24.814453125,66.5786626594,v3,18.494072961,0,5
1601.82708814,0.246153846154,0.0,0.0,8778,4.34053,0.0,0.0,24.70703125,66.5962315903,v3,18.4989532195,0,5
1604.22440328,0.242307692308,0.0,0.0,8750,4.36285,0.0,0.0,24.70703125,66.695900372,v3,18.5266389922,0,5
1601.83629532,0.246153846154,0.0,0.0,8844,4.38559,0.0,0.0,24.70703125,66.5966143801,v3,18.49905955,0,5
1597.96030268,0.226923076923,0.0,0.0,8844,4.40776,0.0,0.0,24.70703125,66.4354693318,v3,18.4542970366,0,5
1599.12683211,0.253846153846,0.0,0.0,8775,4.43035,0.0,0.0,24.70703125,66.4839679899,v3,18.4677688861,0,5
1597.42157158,0.238461538462,0.0,0.15,8844,4.45405,0.0,0.0,24.70703125,66.4130714953,v3,18.4480754154,0,5
1598.43637436,0.242307692308,0.0,0.0,8820,4.47674,0.0,0.0,24.7607421875,66.4552620923,v3,18.4597950256,0,5
1601.40493528,0.238461538462,0.0,0.0,8646,4.49879,0.0,0.0,24.70703125,66.5786805137,v3,18.4940779205,0,5
1604.04678696,0.230769230769,0.0,0.0,8910,4.52274,0.0,0.0,24.7607421875,66.6885159434,v3,18.5245877621,0,5
1599.48583984,0.230769230769,0.0,0.0,8750,4.54546,0.0,0.0,24.7607421875,66.498893797,v3,18.4719149436,0,5
1595.26928711,0.242307692308,0.0,0.0,8777,4.56952,0.0,0.0,24.70703125,66.3235899053,v3,18.4232194181,0,5
1601.40450583,0.238461538462,0.0,0.0,9000,4.59191,0.0,0.0,24.7607421875,66.5786626594,v3,18.494072961,0,5
1601.82708814,0.246153846154,0.0,0.0,8778,4.61405,0.0,0.0,24.70703125,66.5962315903,v3,18.4989532195,0,5
1604.22440328,0.246153846154,0.0,0.0,8775,4.63833,0.0,0.0,24.70703125,66.695900372,v3,18.5266389922,0,5
1601.83629532,0.234615384615,0.0,0.0,8856,4.66063,0.0,0.0,24.7607421875,66.5966143801,v3,18.49905955,0,5
1597.96030268,0.25,0.0,0.0,8778,4.68498,0.0,0.0,24.7607421875,66.4354693318,v3,18.4542970366,0,5
1599.12683211,0.242307692308,0.0,0.0,8784,4.70734,0.0,0.0,24.6533203125,66.4839679899,v3,18.4677688861,0,5
1597.42157158,0.242307692308,0.0,0.0,8778,4.73039,0.0,0.0,24.70703125,66.4130714953,v3,18.4480754154,0,5
